likes,replies,retweets,quotes,text,isReply,isRetweet,isQuote,quotedTweet/text,timestamp,quotedTweet/timestamp,username,verified
286,30,59,3,"“Above all, everyone who had signed on to a military career understood clearly what it meant to plan a coup and fail. The penalty was clear and unmistakable.” 

~ General Ibrahim Badamasi Babangida (rtd) ( IBB )",False,True,False,,2025-03-04T09:55:00.000Z,,@NigeriaStories,True
0,0,0,0,"Samantha Reflects on 15 Years In Cinema, Looks Ahead To The Future
Marking 15 years in the film industry, actress Samantha has opened up about her journey, recalling her early struggles, career-defining roles, and the lessons she has learned along the way.....
 telugumopo.com/samantha-refl…
 via @Telugumopo 
#SAMANTHA
#15YEARSINCINEMA
#MOVIENEWS",False,False,False,,2025-03-04T11:41:00.000Z,,@telugumopo,True
159,0,108,0,"— 𝗧𝗵𝗲 𝗕𝗲𝘀𝘁 𝗦𝗶𝗻𝗴𝗲𝗿 𝗼𝗳 𝟮𝟬𝟭𝟲
— 𝗖𝗵𝗮𝗺𝗽 𝗼𝗳 𝗧𝗵𝗲 𝗬𝗲𝗮𝗿 𝟮𝟬𝟮𝟰

and to more achievements in your singing career, my singer ♡ 

#Gemini_NT #เจมีไนน์",False,True,False,,2025-03-04T09:43:00.000Z,,@iIygemini,False
5189,102,396,29,Kendrick Lamar has now sold over 30 million career album units in the US.,False,True,False,,2025-03-03T15:41:00.000Z,,@chartdata,True
85017,390,4879,585,"1. Not an actor
2. Solo music career started 3 second ago
3. The only perfomer who is lipsyncing 

She is the biggest industry plant in history I fear 😭",False,True,True,LISA performing at the oscars,2025-03-03T04:28:00.000Z,2025-03-03T01:34:00.000Z,@blackylle,True
1,0,0,0,"This is utterly appalling! This man tried to destroy her 30 year career, by making up a terrible lie about patient safety. And his employer supported him all the way.
How many other women in the NHS are suffering similar treatment?!",False,False,True,"Investigation finds that potentially career-ending allegations about Sandie Peggie made by transgender identifying doctor are 'unlikely' to be true.

Who'd have guessed?

@nhsfife's treatment of this dedicated and courageous nurse has been despicable

thetimes.com/uk/scotland/art…",2025-03-04T11:41:00.000Z,2025-03-04T07:46:00.000Z,@radfem_witch,False
333,5,58,2,"it breaks my heart to know that she has to speak about this just so people will stop mocking her, and the worst part is that it has been like this since the beginning of her career, attacking her since she was a child, without any consideration",False,True,False,,2025-03-04T01:29:00.000Z,,@milliesbiebs,False
0,0,0,0,🎉 In celebration of #NCW2025 hear from Emily at Mid Yorkshire Hospitals NHS Trust. She tells us about her career journey and how opportunities at her trust support her aspirations to become a registered nurse. bit.ly/4kbVNGC,False,False,False,,2025-03-04T11:41:00.000Z,,@NHSEmployers,False
3315,19,197,4,"On this day, seven years ago...

The legendary Lionel Messi reached a historic milestone, netting his 600th career goal in sensational fashion against Jan Oblak! 🐐",False,True,False,,2025-03-03T23:17:00.000Z,,@BarcaWorldwide,True
774,34,167,9,"Both of my US senators, Gary Peters and Elissa Slotkin, are opposed to my daughter playing sports against other girls only.

What a sword to fall on with only one of you at the end of your political career...",False,True,False,,2025-03-04T01:50:00.000Z,,@BradPaquetteMI,True
173,22,126,1,We need to take back our power from career politicians by implementing term limits. Sign the petition at conventionofstates.com,False,True,False,,2025-03-03T22:19:00.000Z,,@Ilegvm,True
7674,230,2965,50,"Congrats Jungkook! This song is one of the greatest joys of my career, a gift that keeps on giving. Jungkook you are GOATED in my book! @bts_bighit",False,True,False,,2024-09-18T20:04:00.000Z,,@djswivel,False
3170,66,474,7,"I just finished ""Tough Crowd: How I made and lost a career in comedy"" by Graham Linehan.

Reading the book taught me a lot about the complex craft of writing comedy and sit-coms in particular - Linehan is, of course, the co-creator of Father Ted, Black Books, The IT Crowd and a host of other  much loved shows. He has a string of Baftas to his name.

But ""Tough Crowd"" is also full of hugely disturbing material about ""the culture wars"", recounting how this comedy legend has been chewed up and spat out by an artistic and media establishment, including many of his former coilleagues and friends.

Why? Because so many cowardly individuals have refused to accept Linehan's right to stand up for his views relating to gender and sexuality – views that are not only perfectly acceptable but are held by the overwhelming majority of the UK population.

Graham Linehan is an enormously talented writer. He is also a brave and deeply principled man. I am proud to know him - and recommend his book whole-heartedly.

@Glinner 

amazon.co.uk/Tough-Crowd-Mad…",False,True,False,,2025-03-03T17:17:00.000Z,,@LiamHalligan,True
703,1574,138,253,"We have to consider the possibility that President Trump is a Russian asset. 

If so, Trump's acquisition is the crowning achievement of Putin's FSB career - and  Europe is on its own,",False,True,False,,2025-03-04T08:00:00.000Z,,@grahamstuart,True
7248,606,1919,120,Keir Starmer is threatening to fight a superpower which possesses the largest nuclear arsenal in the world. He is doing it because his approval ratings are in the toilet and he is trying to make himself look tough. He is risking all our lives just to save his own career.,False,True,False,,2025-03-03T11:27:00.000Z,,@damian_from,False
2,0,0,0,Nhi nhi abi career ban na bakki hai #final bi predict krna h guru!!,True,False,False,,2025-03-04T11:40:00.000Z,,@PushpendraVas10,False
0,0,0,0,"Healthcare workforce: regional challenges and solutions: Great emphasis needs to be placed on retaining staff. This can involve promoting healthy workplaces, providing conditions for work-life balance, enabling career development and finding flexible solutions.  @BSacredeus",False,False,False,,2025-03-04T11:40:00.000Z,,@EPP_CoR,False
68,5,9,0,"This is the promo of Rhea Ripley’s career.

This is outstanding. 

👏👏👏👏👏",False,True,False,,2025-03-04T11:35:00.000Z,,@WrestleFeatures,True
454,0,169,24,"#ByeonWooSeok has 20 brand deals under his belt.

— Fashion & accessories (3)
— Beauty & personal care (5)
— Food & beverages (5)
— Home & lifestyle (2)
— Finance & career (2)
— Healthcare (1)
— Sports & outdoor (1)
— Skincare & health (1)",False,True,False,,2025-03-04T07:04:00.000Z,,@wooseokfiles,False
442,24,427,6,"Absolutely thrilled for Lingling Kwong and Orm Kornnaphat! Going to Paris Fashion Week is a major moment in their career.

LINGORM AT PFW2025
#LingOrmDiorAW25",False,True,False,,2025-03-04T11:01:00.000Z,,@LingOrm_BH,True
0,0,0,0,"今日は2人目のyellセッションスタート！聴く、対話をするってやっぱり楽しいなと実感😊
より良い支援のために私も学び続けよう、と改めて思います。

久々に風邪をひいたかも？という体調なので無理をせずに。支援のためにはまず自分のコンディションを整えること！を忘れずに🍀",False,False,False,,2025-03-04T11:40:00.000Z,,@yuko_career,False
77,2,9,1,"The netminder love is STRONG at @CapitalOneArena tonight!

Willy recorded his 2nd career Gordie Howe hat trick 🎩 but had to give credit where it's due 🙂‍↕️

#CapsSens | @Capitals",False,True,False,,2025-03-04T02:50:00.000Z,,@MonSportsNet,True
0,0,0,0,gi career mo pagiging pokpok mo friend,False,False,False,,2025-03-04T11:40:00.000Z,,@ughrevy,False
0,0,0,0,"The billionaire class stealing from us???? That’s hilarious!!! The country is $36 TRILLION DOLLARS in debt thanks to career politicians stealing from us to pay off the mega donor class!! That’s the STEALING Trump is ending, and he has our 100% support to get it done!!",True,False,False,,2025-03-04T11:40:00.000Z,,@bmccormick70,True
775,80,98,8,"Thanks to all my new followers. 

I have possibly the most confusing page here. 

I oscillate between dropping nuggets on how to succeed academically or start a great career in 9-5 and hawking my businesses.

Between sharing a picture in a 5 star London hotel to playing on sands in the trenches of Ajah. 

If you see me in a keke in Lagos or walking lonely on a pedestrian bridge in Wuse Abuja, don’t be confused, still me. 

I’m not so mature, so I post food - from the home made zobo to Iya Ebuka site beans to British breakfast. 

I play football a lot. And I count my goals because they make so happy. I have a special cameraman for my football. He does a good job of capturing only my good highlights. 

I’m from Offa, Kwara. I’m a story teller. Most of my stories feature Offa, where I lived for the first 19 years of my life, before proceeding to OAU, another place you will see regularly here. 

I show off small small too 😢. The game is the game. 

I know something about politics and policy, especially the latter, but I prefer to discuss them on TV than here. I share videos of my TV interviews once in a while. 

I know a few things about economics, accounting, taxation, and oil & gas, so I sometimes put these hats on to explain one or two things about these subjects. I enjoy teaching in general.

I’m a Muslim. I’m Yoruba, but my Yoruba brothers dey fight me sometimes 😊. I have been called bigot too, for forecasting election based on my knowledge of Nigerian politics and electoral behaviour, a subject I developed interest far back 1992 at 10. 

I’m a regular subject of dragging too. Possibly the reason you came across this handle. Dem dey tear my cloth well well 😃. 

Finally, I dey quick block.",False,True,False,,2025-03-03T22:30:00.000Z,,@SirJarus,True
10281,112,2963,65,"No one could have summarized the political career & achievements of Rahul Gandhi better than Arnab Goswami.  

This is exactly why I pay my internet bills for 😂🔥",False,True,False,,2025-03-03T17:03:00.000Z,,@erbmjha,True
151,0,67,0,"#YUNJIN’s writing credits throughout her career so far.

#HUHYUNJIN #허윤진 #ユンジン #LE_SSERAFIM #르세라핌 @le_sserafim @IM_LESSERAFIM",False,True,False,,2025-03-04T08:55:00.000Z,,@HuhYunjinGlobal,False
2,0,1,0,"Self-belief & hardwork will always earn you success💯.
Trust in yourself with positive mindset & move forward in your career to achieve your goals.Time is so precious✨
#Muthukumaran𓃵 #Muthu #Muthukumaran #MuthukumaranArmy #TitleWinnerMuthukumaran #BiggBossTamil8 #BiggBoss8Tamil",False,True,True,"To all Malaysian fans,
Don't miss this chance to meet #Muthukumaran in Colours of India's event as a guest @ Johor,Malaysia on 29th March, 2025 #MuthukumaranArmy #Muthukumaran𓃵 #Muthu #BiggBoss8Tamil #TitleWinnerMuthukumaran @kumaran_kural #BiggBossTamil8
instagram.com/reel/DGxWm58RK…",2025-03-04T11:11:00.000Z,2025-03-04T10:45:00.000Z,@dgselvaa,False
0,0,0,0,“A solicitor…revealed that an internal health board investigation had sided with [Sandie Peggie] in relation to a potentially “career-ending” allegation that she failed to provide proper patient care...a further allegation…had been directly contradicted by an eyewitness.”,False,False,True,"Margaret Gribbon said that an allegation of jeopardising patient safety made against Peggie by Upton had been directly contradicted by an eyewitness.
thetimes.com/article/3e1d0ec…",2025-03-04T11:40:00.000Z,2025-03-03T22:11:00.000Z,@coccinellanovem,True
1,0,0,0,"Ofc you'd  be a struggling writer with terrible bangs, although your bangs might be struggling more than your career. I hope that £300 last long. Also, outside of your low hanging fruit ""Journalism,"" your writing style needs serious help. Much like your hair/life, it needs work.",True,False,False,,2025-03-04T11:40:00.000Z,,@MiaCarter156611,False
1010,38,167,10,"Investigation finds that potentially career-ending allegations about Sandie Peggie made by transgender identifying doctor are 'unlikely' to be true.

Who'd have guessed?

@nhsfife's treatment of this dedicated and courageous nurse has been despicable

thetimes.com/uk/scotland/art…",False,True,False,,2025-03-04T07:46:00.000Z,,@JaneSymons1,False
0,0,1,0,"Calling parent/carers, educators and others who influence young people's career decisions 📢

Come to our session on 5th March to explore why apprenticeships could be an ideal pathway for young people you support.

Book: ow.ly/R8gr50UYrxm

#ScotAppWeek25 #MarketplaceMonday",False,True,False,,2025-03-03T12:01:00.000Z,,@DYWScot,True
8,4,0,0,"Let’s do a poll. 

I think it’s pretty safe to say the career Congress members should be audited. Especially those who were broke and are now multimillionaires. 

Also….if we implemented TERM LIMITS, I happen to think it would eliminate a lot of waste, fraud, and abuse.",False,False,False,,2025-03-04T11:40:00.000Z,,@JustJenRX,True
7,2,0,0,"“Why even first generation immigrants from Africa including Nigerians excel more than their White-Europeans Americans in school and career despite their supposedly low IQ.”

Imagine this kind of question lmaoooo @allthewayhomie 🤣 a stark statistical illiterate",False,True,True,"What aspect of STEM? 

Actually I had a moment of self-reflection on my life’s choices just now. I really shouldn’t be debating you. I should be teaching you and you are by the way unteachable. 

A thought on Judaism: Judaism of the Jewish people in the last 80 years has been responsible for my deaths than any idea ever conceived in Western Africa. I mean, you have no idea what you do not even know and I had to reflect on how I got myself into a position to debate you a moment ago in the shower. 

The other guy said Africa’s culture- meanwhile there is no “African culture” meanwhile it doesn’t produce as much as Western culture which shows that these are not even deep thoughts. These are not ideas really mused about for a long time. China produces more than most European countries but the happiness and fulfillment indices in Europe are better, the liberty, the freedom of expression. I mean did you even ruminate a bit about what you said and what culture actually means?

Chinese culture has less respect for women than Yoruba culture. Yoruba culture is far more individualistic than Chinese or Japanese culture. I mean you guys haven’t really sat down to juxtaposed and consider why an other explanation to why other cultures in this present moment in history have better outcomes than others. Why even first generation immigrants from Africa including Nigerians excel more than their White-Europeans Americans in school and career despite their supposedly low IQ. 

I had to pause to reflect if the people I am exchanging words with have any idea what they are talking about and it seems I lost my way. You don’t.",2025-03-01T15:36:00.000Z,2025-03-01T15:29:00.000Z,@Promythious,True
0,1,0,0,"dead career dybala fan, carried by ronaldo",True,False,False,,2025-03-04T11:40:00.000Z,,@gagcity_enjoyer,False
0,0,0,0,行政書士は、法律や制度の改正にも常に対応する必要があります。,False,False,False,,2025-03-04T11:40:00.000Z,,@tigaerus2nnt2,False
50,0,24,2,"Expressing profound thanks for a 22-year career built on “love and passion for music,” Popstar Royalty Sarah Geronimo credited God, family, and her loyal fans.

READ: abs-cbn.com/entertainment/sh…",False,True,False,,2025-03-04T10:30:00.000Z,,@ABSCBNNews,True
94,0,8,2,"“Just happy to get the two points and hopefully build from there.”

Logan Thompson on setting a new career-high in wins tonight against Ottawa.

#CapsSens",False,True,False,,2025-03-04T04:05:00.000Z,,@Capitals,True
0,0,0,0,"During my Graduates career. I signed five tenancy agreements and one hotel residency. ✔️

Meanwhile in London. You lot don’t have a house or car in your name.",False,False,False,,2025-03-04T11:40:00.000Z,,@chrismagnusen,False
0,0,0,0,それぞれの資格は、専門的な知識や技術を持った人材を養成し、その分野において重要な役割を果たすことができます。,False,False,False,,2025-03-04T11:40:00.000Z,,@tuiteaa_,False
0,0,0,0,許認可の種類の見直し許認可制度の種類を見直し、必要のない許認可を廃止することで、制度の簡素化を図る取り組みが行われています。,False,False,False,,2025-03-04T11:40:00.000Z,,@baniraso_,False
0,0,0,0,宅地建物取引業の種類宅地建物取引業には、不動産仲介業、不動産管理業、不動産鑑定業があります。,False,False,False,,2025-03-04T11:40:00.000Z,,@komitaide,False
22,0,15,1,"Happy birthday phi nont!!! 
Continued success for your career, may it shine even brighter like a star in the sky. Always be healthy phi nont🤍 @tanont916

#29thNONTDAY
#Nontfam #nonttanont 
#NONTTANONT",False,True,False,,2025-03-04T04:17:00.000Z,,@nongemfotnon,False
214,15,18,7,"世の中の仕事は、2種類に分けられる。
・成果を問われる仕事
・作業をこなす仕事
成果を問われることがなくなったら、その人のキャリアが終わる。固定化された仕事に居心地の良さを感じてしまっている人は危機感を持つべし。",False,True,False,,2025-03-04T02:31:00.000Z,,@Nicotama222,True
0,0,0,0,"Eager to enhance your understanding of paints and coatings? Our ""Technology of Paints"" course unlocks the secrets behind paint formulations and their real-world applications

Enroll now and color your career with expertise!
polymerupdateacademy.com/cou…

#PaintTechnology #PUA #Training",False,False,False,,2025-03-04T11:40:00.000Z,,@PolymerupdateA,False
49,1,18,0,"Guma I believe in you. Do whatever you want. I will support you!!

If you want to stay, I’ll support you.
If you want to leave, I’ll support you still.

You don’t have to prove anything because WE KNOW what you are capable of. Just enjoy your life and career. Enjoy playing!!",False,True,False,,2025-03-04T08:38:00.000Z,,@iamnotzziii,False
61597,681,1769,450,Adrien Brody will go down as having maybe a top 1 weirdest career ever. 2 Oscars twenty years apart. Like 6 Wes Anderson movies in between alongside just a bunch of direct to DVD slop. Also he was in Angels in the Outfield,False,True,False,,2025-03-03T03:27:00.000Z,,@JakeWallinger,False
0,0,0,0,"When a political appointee doesn't want to release something, it means what would be released would incriminate the people funding her career and making her rich. I knew they were afraid of Matt for this reason. They put in a Trad-Con Feminist who is all about money and has no moral qualms protecting child rapists and sex traffickers.",True,False,False,,2025-03-04T11:40:00.000Z,,@MarcoRizzolo,True
3,0,1,0,"4th ball - 6
5th ball - Bowled !! 

Sunil Gavaskar on air 

“That sums up Glenn Maxwell’s career” 

#INDvsAUS #INDvAUS",False,True,False,,2025-03-04T11:39:00.000Z,,@MidnightMusinng,True
2,0,1,0,"Haha Harsha bogle commentary lo 

Maxwell career in 2 balls annadu 🤣🤣

1st ball 6 
2nd ball Bowled 😭🤣🤣😭
#INDvAUS",False,True,False,,2025-03-04T11:36:00.000Z,,@urschinnabathai,False
16870,93,657,27,when Kobe showed up to Gigi’s school for Career Day in his Lakers uniform 🥹💜,False,True,False,,2025-03-04T01:51:00.000Z,,@LakeShowYo,True
75,1,5,1,"🗣️ ""As long as we can keep winning games of football, they'll be some exciting times ahead.""

Bradford City goalkeeper Sam Walker discusses the League Two promotion race, notching 100 career clean sheets and tomorrow's visit of Cheltenham.

#BCAFC | #BBCFootball | #BBCEFL",False,True,False,,2025-03-03T17:24:00.000Z,,@BBCWYS,True
746,7,209,2,"Her remarkable career is matched by her commitment to being a responsible citizen. Proud to see her among the top celebrity taxpayers recognized by the Bureau.

Keep it up, Kimmy! 💜 #KimChiu 

Photo courtesy: KCG",False,True,False,,2025-03-04T08:31:00.000Z,,@onepublicityph,True
0,0,0,0,Career-high headlines Muskegon-area girls hoops roundup for district openers mlive.com/highschoolsports/2…,False,False,False,,2025-03-04T11:40:00.000Z,,@michigannews,True
1,0,1,0,"Were you bullied at school? Yes.
Are you unattractive? Yes.
Are you bitter & twisted? Yes.
Do you have deviant tendencies? Yes.
Are you spiteful, egocentric & lacking in both awareness & compassion? Yes.

Want a career which rewards you for all this? Yes.

Become a politician.",False,True,False,,2025-03-04T11:18:00.000Z,,@GodlessApe_,False
2329,4,1023,9,"“She’s a good friend, she’s cool, and she’s super nice to me & my fiance, and that’s what I care about the most, It’s been amazing to watch her continue to grow her career & see how multi-talented she is with the acting & then with her music career & the modeling & so much more.”",False,True,False,,2025-03-04T05:22:00.000Z,,@LaliceUpdates,False
45316,101,10733,258,"Both spoilers, both high earners, both focused on professional and career development, both as good as each other is where it’s at",False,True,True,I can’t wait to spoil my man🥹♥️,2025-03-03T13:54:00.000Z,2025-03-03T12:39:00.000Z,@ayojenniii,True
6,1,0,0,"💫CAREER UPDATE 💫 I'm so excited to share I'm the newest freelancer writing  space stories for @MarthaStewart's magazine! 

Here's my first article about the upcoming #BloodMoon and #TotalLunarEclipse next week -- a sight you won't want to miss! 🌕 

marthastewart.com/blood-moon…",False,False,False,,2025-03-04T11:40:00.000Z,,@GarofaloWX,False
0,0,0,0,"We built this with one goal in mind: to provide our learners and the tech community with a space to thrive.

Are you ready? 👀Stay Tuned
.
.
.
#career 
#blowthisup 
#launchingsoon
#Oscars2025 
#TikTok",False,False,False,,2025-03-04T11:40:00.000Z,,@xterns,False
46,0,11,1,Every Lisa hate tweets is deserved btw remember blink made jk career about  🛴 now they are mad fred is being credited for lisman achievement,False,True,False,,2025-03-04T10:00:00.000Z,,@jeonsbammie_,False
1568,46,412,1,"Remove Real Madrid from Cristiano Ronaldo's career and he would still be MR Champions League. 

A Thread",False,True,False,,2025-03-04T06:43:00.000Z,,@skyeepl,True
5,0,3,0,"I am grateful to announce my commitment to Carroll University to continue my academic and golf career. I want to thank God, my parents, family, friends, teammates, and Coach Kerkman for their support. I also appreciate Coach Barry for this opportunity. Excited to get to work 💙🧡",False,True,False,,2025-03-04T05:11:00.000Z,,@keck_jonah,False
2874,30,182,60,"Reed Sheppard 1st career start 👀🚀

- 25 PTS
- 5 AST
- 3 3PT
- 10/17 FG",False,True,False,,2025-03-04T03:50:00.000Z,,@HoHighlights,True
0,0,0,0,＠career_koumei さんのツイートが直感で大事だとわかる内容ばかりで役にたち過ぎる。。,False,False,True,"マジで知ってください
賢さの階段ってこれです",2025-03-04T11:39:00.000Z,2025-03-04T10:30:00.000Z,@punipuninootete,True
